time	insolation_65N
2000	484.6055861
1999	480.8833815
1998	477.2877937
1997	474.3632826
1996	472.5306224
1995	472.2990898
1994	473.6379443
1993	476.6769297
1992	481.1688842
1991	486.682328
1990	492.7449284
1989	498.7934359
1988	504.1350193
1987	508.3264205
1986	510.9182418
1985	511.7313196
1984	510.6848294
1983	508.1459273
1982	504.3149198
1981	499.8955472
1980	495.4152072
1979	491.4596283
1978	488.5384638
1977	487.155378
1976	487.3279723
1975	489.2431708
1974	492.634094
1973	497.0643206
1972	502.0285278
1971	506.8661538
1970	510.7319974
1969	513.0988787
1968	513.3338676
1967	511.0581825
1966	506.286613
1965	499.2435572
1964	490.2598692
1963	480.3346973
1962	470.0947847
1961	460.5705712
1960	452.6462194
1959	447.036945
1958	444.241531
1957	444.7087775
1956	448.3921151
1955	455.0757109
1954	464.3866942
1953	475.5229747
1952	487.6265077
1951	499.7424084
1950	510.8527189
1949	519.871382
1948	526.3352567
1947	529.4499362
1946	529.2211435
1945	525.7766055
1944	519.569594
1943	511.2196179
1942	501.7914902
1941	492.0144102
1940	482.8531812
1939	475.2094616
1938	469.5570603
1937	466.384392
1936	466.0077039
1935	468.2460241
1934	472.9198571
1933	479.6769261
1932	487.7097519
1931	496.3628843
1930	504.8990194
1929	512.2370415
1928	517.8826396
1927	521.1667586
1926	521.6996767
1925	519.4091942
1924	514.6502179
1923	507.5471127
1922	499.0288469
1921	489.7346568
1920	480.3756402
1919	471.8458121
1918	464.7517821
1917	459.4725217
1916	456.4994256
1915	455.8844135
1914	457.4725502
1913	461.205088
1912	466.5857735
1911	473.1213697
1910	480.3432496
1909	487.6786865
1908	494.4807193
1907	500.5004
1906	505.3178169
1905	508.6794065
1904	510.7326006
1903	511.4349281
1902	510.9486878
1901	509.6746808
1900	507.7614012
1899	505.4381034
1898	503.0451111
1897	500.6064946
1896	498.1354903
1895	495.8213601
1894	493.4234612
1893	490.9099202
1892	488.337605
1891	485.5400174
1890	482.5758203
1889	479.7009413
1888	476.9113319
1887	474.5332466
1886	472.9417852
1885	472.2566529
1884	472.8030206
1883	474.7693177
1882	478.1075803
1881	482.7127002
1880	488.4171591
1879	494.6194627
1878	500.81601
1877	506.4853136
1876	510.70492
1875	513.0893573
1874	513.1746032
1873	510.6266069
1872	505.5919891
1871	498.5107747
1870	489.7328926
1869	480.3358123
1868	471.0958931
1867	462.9381375
1866	456.8040882
1865	453.4332726
1864	453.2105875
1863	456.5438082
1862	463.391629
1861	473.2933744
1860	485.8480201
1859	499.9778188
1858	514.5410831
1857	528.3451574
1856	539.9589083
1855	548.1752398
1854	552.0845439
1853	551.1182965
1852	545.1147385
1851	534.66571
1850	520.5075479
1849	503.9420608
1848	486.3770868
1847	469.3686656
1846	454.1296775
1845	442.0476612
1844	433.829485
1843	430.0557246
1842	430.9934465
1841	436.4136543
1840	445.8534898
1839	458.5184714
1838	473.3131145
1837	488.8476927
1836	503.8730087
1835	516.8959154
1834	526.7446317
1833	532.6225978
1832	534.0499059
1831	531.0007045
1830	524.1609023
1829	514.178506
1828	502.3073034
1827	489.79326
1826	477.7488999
1825	467.3375835
1824	459.4353092
1823	454.551668
1822	453.1208584
1821	455.141958
1820	460.4089129
1819	468.4474098
1818	478.6802422
1817	490.1252774
1816	502.0365721
1815	513.3392485
1814	523.204016
1813	530.8303192
1812	535.7268466
1811	537.4936374
1810	536.2071416
1809	532.0010397
1808	525.3711172
1807	516.876576
1806	507.2733809
1805	497.2083828
1804	487.4008021
1803	478.4234765
1802	470.7273855
1801	464.6113463
1800	460.3252957
1799	457.7809647
1798	457.0399994
1797	457.8021445
1796	459.9220004
1795	463.0316897
1794	466.9249268
1793	471.2595426
1792	475.8157898
1791	480.4286661
1790	484.9153664
1789	489.2054504
1788	493.2084566
1787	496.9091991
1786	500.155461
1785	503.0242124
1784	505.2258499
1783	506.8131913
1782	507.5073155
1781	507.3307155
1780	506.0323155
1779	503.7851225
1778	500.4779867
1777	496.3840006
1776	491.742172
1775	486.8995055
1774	482.2900835
1773	478.3839828
1772	475.5978055
1771	474.3434475
1770	474.9253112
1769	477.4902919
1768	482.0004615
1767	488.3208723
1766	495.9549533
1765	504.4034878
1764	512.8352438
1763	520.4822922
1762	526.3196552
1761	529.7719918
1760	529.9681817
1759	526.792123
1758	520.0782474
1757	510.3015261
1756	498.0720982
1755	484.4860889
1754	470.5762903
1753	457.5701737
1752	446.6520257
1751	438.668174
1750	434.4406102
1749	434.4062814
1748	438.6254981
1747	446.9026046
1746	458.7981603
1745	473.2005405
1744	489.1929756
1743	505.2590057
1742	519.9322421
1741	531.9126621
1740	540.0488241
1739	543.4824749
1738	542.076701
1737	536.0276517
1736	525.9910419
1735	513.2308232
1734	499.0247429
1733	484.6913221
1732	471.7618621
1731	461.18052
1730	453.896905
1729	450.4479236
1728	451.0337483
1727	455.4354574
1726	463.3505766
1725	473.889058
1724	486.1244825
1723	498.8688306
1722	510.9329241
1721	520.9881231
1720	528.2137428
1719	531.798458
1718	531.3653212
1717	527.1849034
1716	519.6083898
1715	509.4585749
1714	497.9394156
1713	485.9597263
1712	474.7118761
1711	465.1667395
1710	457.9804176
1709	453.6037995
1708	452.3799584
1707	454.0363615
1706	458.3748037
1705	464.9201701
1704	472.8846478
1703	481.5524437
1702	490.2795521
1701	498.1354433
1700	504.6858547
1699	509.5919658
1698	512.4370474
1697	513.4885513
1696	512.8366677
1695	510.818598
1694	507.8967607
1693	504.6309127
1692	501.2103551
1691	498.2056365
1690	495.8113335
1689	494.014688
1688	492.9824452
1687	492.5545686
1686	492.4228159
1685	492.4830937
1684	492.4453376
1683	491.9046987
1682	490.9230406
1681	489.2599276
1680	486.9308638
1679	484.1901903
1678	481.1871932
1677	478.1966554
1676	475.6432284
1675	473.8641434
1674	472.9455976
1673	473.3685459
1672	474.9566977
1671	477.6855978
1670	481.453607
1669	485.8438834
1668	490.3636976
1667	494.7485179
1666	498.314517
1665	500.7350862
1664	501.8157677
1663	501.2709595
1662	499.1974367
1661	495.9066128
1660	491.6864857
1659	487.0385383
1658	482.6852974
1657	479.0081353
1656	476.5905032
1655	475.9528543
1654	477.1529348
1653	480.3793937
1652	485.5257869
1651	492.1652917
1650	499.7931534
1649	507.9024729
1648	515.4673926
1647	521.873036
1646	526.3951117
1645	528.311936
1644	527.3952407
1643	523.6276741
1642	517.0275208
1641	508.2849285
1640	498.1582184
1639	487.3298949
1638	476.9628982
1637	467.8588104
1636	460.6594077
1635	456.1091562
1634	454.4216449
1633	455.6187147
1632	459.543263
1631	465.7191472
1630	473.3027839
1629	481.6261811
1628	489.6259885
1627	496.3772148
1626	501.2022215
1625	503.5244228
1624	503.1080186
1623	500.1883511
1622	495.2160487
1621	488.792265
1620	482.0202446
1619	475.64629
1618	470.6192026
1617	467.6179091
1616	467.2123652
1615	469.4301029
1614	474.4982516
1613	481.8504411
1612	490.9659009
1611	501.1303775
1610	511.2905074
1609	520.4912191
1608	527.8967992
1607	532.6398366
1606	534.233681
1605	532.614492
1604	527.8198096
1603	520.3788593
1602	511.1635231
1601	500.8833499
1600	490.673771
1599	481.4235696
1598	473.9068812
1597	468.6544652
1596	466.1764978
1595	466.2487971
1594	468.9398877
1593	473.5912344
1592	479.5841139
1591	486.0702192
1590	492.2088226
1589	497.0888502
1588	500.0550621
1587	500.7003221
1586	498.784687
1585	494.5874075
1584	488.5598947
1583	481.4090342
1582	473.9533397
1581	467.1886295
1580	461.7536441
1579	458.4945288
1578	457.7623826
1577	459.8233585
1576	464.6199626
1575	471.9154412
1574	481.1281471
1573	491.5819289
1572	502.4248726
1571	512.661061
1570	521.4514798
1569	528.0377455
1568	531.7168402
1567	532.362872
1566	529.7853936
1565	524.4345031
1564	516.7916919
1563	507.6852249
1562	497.890013
1561	488.3991636
1560	479.8914654
1559	473.1822887
1558	468.6169267
1557	466.5930044
1556	467.0298606
1555	469.8187111
1554	474.5488293
1553	480.6369457
1552	487.4228619
1551	494.1291762
1550	499.9973959
1549	504.4263588
1548	506.8689261
1547	507.1244807
1546	505.0859588
1545	501.1065883
1544	495.5377693
1543	489.0760602
1542	482.3814189
1541	476.1516508
1540	471.0092166
1539	467.4991728
1538	465.8815698
1537	466.3439048
1536	468.7968162
1535	472.9465207
1534	478.446651
1533	484.7025136
1532	491.218235
1531	497.2705545
1530	502.5515005
1529	506.4376685
1528	508.9290652
1527	509.8487004
1526	509.3905516
1525	507.7995072
1524	505.5374354
1523	502.9234403
1522	500.465332
1521	498.4605914
1520	497.0909585
1519	496.4917042
1518	496.5742307
1517	497.0912425
1516	497.735723
1515	498.1385975
1514	497.8087585
1513	496.4513209
1512	493.8698974
1511	489.8222125
1510	484.6720317
1509	478.5475111
1508	472.0845513
1507	465.8438394
1506	460.6028351
1505	456.8673766
1504	455.3730572
1503	456.4042
1502	460.1430143
1501	466.5346761
1500	475.2111579
1499	485.5066284
1498	496.6581998
1497	507.6705325
1496	517.3656751
1495	524.977917
1494	529.5485492
1493	530.6277858
1492	528.1382628
1491	522.3138922
1490	513.6758451
1489	503.3357209
1488	492.2326129
1487	481.4816462
1486	472.3471482
1485	465.5313201
1484	461.8161834
1483	461.6957211
1482	465.095411
1481	471.873238
1480	481.5136576
1479	493.0205368
1478	505.3437528
1477	517.2576823
1476	527.2260933
1475	534.1824722
1474	537.1149004
1473	535.4145088
1472	529.0380917
1471	518.5008931
1470	504.5774649
1469	488.6528438
1468	472.2058491
1467	456.5851597
1466	443.2565694
1465	433.3012616
1464	427.4664196
1463	426.2428722
1462	429.7782744
1461	437.6615846
1460	449.3800114
1459	464.072365
1458	480.378621
1457	497.14352
1456	512.8947287
1455	526.2198981
1454	536.1388308
1453	541.9823738
1452	543.1890564
1451	540.2402525
1450	533.4875647
1449	523.8478272
1448	512.5341251
1447	500.678931
1446	489.3139585
1445	479.5871627
1444	472.1983289
1443	467.5334834
1442	466.111385
1441	467.6712311
1440	471.9548606
1439	478.6198556
1438	486.7926373
1437	495.6753688
1436	504.4940897
1435	512.2223119
1434	518.079989
1433	521.6677639
1432	522.3679073
1431	520.2913506
1430	515.5700229
1429	508.6680808
1428	500.1238804
1427	490.8956053
1426	481.5111254
1425	472.7850463
1424	465.4010703
1423	459.6193303
1422	455.8407562
1421	454.1357437
1420	454.3454309
1419	456.2489325
1418	459.6458039
1417	463.9265376
1416	468.8695736
1415	474.046415
1414	479.1319594
1413	483.9075549
1412	488.44102
1411	492.4814643
1410	496.2993198
1409	499.9997828
1408	503.5437802
1407	507.2116427
1406	510.9566861
1405	514.5927297
1404	518.1288312
1403	521.2026014
1402	523.4749873
1401	524.6181439
1400	524.3608343
1399	522.2371101
1398	518.3542279
1397	512.6138847
1396	505.2382026
1395	496.6853301
1394	487.5852406
1393	478.4263075
1392	470.2421484
1391	463.5395419
1390	458.9437196
1389	457.066863
1388	458.0343306
1387	461.8321087
1386	468.329615
1385	476.8322027
1384	486.5530268
1383	496.5981143
1382	505.7958852
1381	513.0028963
1380	517.5099136
1379	518.439839
1378	515.6833502
1377	509.470501
1376	500.2828162
1375	489.119629
1374	477.2086756
1373	465.6847001
1372	455.8245726
1371	448.7105354
1370	445.0107071
1369	445.3714473
1368	449.8931929
1367	458.4942844
1366	470.5224324
1365	485.3452015
1364	501.5297162
1363	517.941838
1362	532.9584953
1361	545.1828572
1360	553.3002558
1359	556.5636578
1358	554.4524307
1357	547.2334596
1356	535.6164768
1355	520.6067169
1354	503.703691
1353	486.4394881
1352	470.2235127
1351	456.3985157
1350	445.9864638
1349	439.5782979
1348	437.5505254
1347	439.9587037
1346	446.2047934
1345	455.8710283
1344	467.7598213
1343	480.8460051
1342	493.7753087
1341	505.3992026
1340	514.4373578
1339	520.2838614
1338	522.3313395
1337	520.6441253
