# input_path:./LR04_2000ka.txt
# method:1
# n50:3
# sample_number_of_AR1:100
# confidence_level:[0.99, 0.95, 0.9]
# output_path:./result.txt
# #################################################### 
# Freq 	 PSD	99.0%confidence_level	95.0%confidence_level	90.0%confidence_level
1.000800640512409427e-03 5.930978002531583826e+01 2.625922014698824114e+02 2.176671240943871055e+02 1.899848904043932691e+02
1.047860800747534103e-03 5.986017253333881882e+01 2.704988115130363440e+02 2.274371875498089821e+02 1.991521818261300041e+02
1.097133847937067702e-03 5.978408701705762240e+01 2.779849025816490098e+02 2.364925514072273813e+02 2.075149645556982136e+02
1.148723837584618131e-03 5.897952960957687907e+01 2.837289518058670410e+02 2.445821537789805120e+02 2.170227007455747810e+02
1.202739718144967300e-03 5.733317285628832138e+01 2.883407304045833257e+02 2.513058144355544243e+02 2.249123718167037396e+02
1.259295561102930731e-03 5.475975307509198586e+01 2.925186500691617653e+02 2.562156872598237101e+02 2.294994406807200278e+02
1.318510801871104624e-03 5.123274773518298275e+01 2.932768566524033531e+02 2.593278214633717198e+02 2.320219668611257759e+02
1.380510492015214969e-03 4.678281982382944904e+01 2.901683453675821056e+02 2.590988195768904916e+02 2.357726419940663618e+02
1.445425563339751331e-03 4.147159783342444683e+01 2.829363713461134466e+02 2.537086498958940695e+02 2.304994909771584730e+02
1.513393104391570288e-03 3.538698152783041451e+01 2.766088820468734184e+02 2.498101348858189965e+02 2.306909870517391141e+02
1.584556649965376861e-03 2.870720465359577744e+01 2.789381061601432634e+02 2.398320211326925460e+02 2.265100598105800032e+02
1.659066484222498309e-03 2.182075797950529861e+01 2.821117903992828815e+02 2.299632504217396445e+02 2.173415252224097571e+02
1.737079958063063225e-03 1.538697066435160821e+01 2.811472522242414129e+02 2.205977837479984487e+02 2.019606780903671108e+02
1.818761821421797887e-03 1.018159911622078617e+01 2.757147087994374601e+02 2.098685776660288980e+02 1.850829344548098447e+02
1.904284571189238063e-03 6.745750045412353124e+00 2.669174979054820938e+02 2.023535893103234287e+02 1.685178428446121757e+02
1.993828815493036387e-03 5.120775213909878332e+00 2.671887451703376541e+02 1.933176568216561577e+02 1.606076332200266279e+02
2.087583655108716033e-03 4.894464168948734262e+00 2.665902300071568902e+02 1.885626118535284377e+02 1.578035469992656772e+02
2.185747082805305618e-03 5.452392024512715984e+00 2.630528826129208824e+02 1.798373238062370376e+02 1.604948806825062491e+02
2.288526401469218909e-03 6.204244768728279347e+00 2.546169895044614009e+02 1.805579994673705073e+02 1.638056856451103727e+02
2.396138661889346197e-03 6.686690693841369715e+00 2.424529125359734962e+02 1.779139191172934034e+02 1.623529546398047216e+02
2.508811121127936354e-03 6.584577330686439467e+00 2.275231397658861283e+02 1.792562145253446602e+02 1.565707178400294879e+02
2.626781722445191251e-03 5.802349149168658293e+00 2.154777013718673686e+02 1.840239785256476637e+02 1.603397857132460445e+02
2.750299597791149367e-03 4.646942527334055661e+00 2.034502353025926595e+02 1.821307458652542834e+02 1.602990007771870182e+02
2.879625593925982420e-03 3.829775487230927755e+00 2.005013587528719086e+02 1.792981350640844198e+02 1.534035652134733994e+02
3.015032823279811033e-03 3.984308686542341604e+00 2.040017526172842395e+02 1.792719702288201518e+02 1.517827081332436023e+02
3.156807240715292940e-03 5.159388906154951826e+00 2.080232642790911370e+02 1.755521432301974869e+02 1.533054755357641170e+02
3.305248247411092261e-03 6.809773117545639742e+00 2.077380895780015635e+02 1.758592175626138783e+02 1.485157724776881878e+02
3.460669323141410316e-03 8.191276321359902468e+00 2.088530626736386466e+02 1.683978437870404150e+02 1.385487636494501373e+02
3.623398688286926482e-03 8.994247223216087050e+00 2.109870425805178229e+02 1.550472495193166083e+02 1.297471176407179030e+02
3.793779996975155805e-03 9.810726067674339745e+00 2.020606338902471748e+02 1.485504342694860611e+02 1.321468263892902257e+02
3.972173062813973490e-03 1.159297914353858694e+01 1.811679437863404303e+02 1.406832489772633608e+02 1.308896647692917838e+02
4.158954618750984773e-03 1.417109386791053005e+01 1.552166459249994830e+02 1.411061796165243720e+02 1.282215334831313385e+02
4.354519112663402317e-03 1.615127845221766378e+01 1.767238273215662900e+02 1.416651668977679606e+02 1.226713036425697965e+02
4.559279540358503018e-03 1.660524389409884805e+01 2.025303295513530770e+02 1.513084909745332709e+02 1.271513255689430935e+02
4.773668317743911919e-03 1.588625309478328518e+01 2.214579339314548747e+02 1.494224303433384193e+02 1.297800116876155982e+02
4.998138194009523784e-03 1.532779104565315720e+01 2.245371384180531891e+02 1.543345549647843313e+02 1.272179093837272603e+02
5.233163207749474619e-03 1.572695051191126403e+01 2.140108795245884608e+02 1.525898146405096441e+02 1.260756360529816362e+02
5.479239688043445466e-03 1.641185674646070680e+01 1.965317342125832170e+02 1.467269719080010191e+02 1.176688600824424498e+02
5.736887302611274123e-03 1.687757697550875591e+01 1.835129703820860527e+02 1.367489582800335484e+02 1.063139431002235256e+02
6.006650155254439176e-03 1.719968678547701302e+01 1.680426589964573054e+02 1.218578283665967774e+02 9.517567204287470872e+01
6.289097934902018218e-03 1.679942845943502405e+01 1.558802787787109310e+02 1.156988816357465737e+02 8.959744603676547570e+01
6.584827118687657486e-03 1.449922898052261822e+01 1.393286950532433366e+02 1.044275595942240784e+02 7.863104138965609025e+01
6.894462231598226347e-03 1.200274638365827684e+01 1.284043478506352471e+02 9.176914752774123940e+01 7.585754862466316695e+01
7.218657165354365468e-03 1.205740845704553443e+01 1.171650147553646235e+02 8.445493210053592747e+01 7.057864760034333074e+01
7.558096559308064531e-03 1.448201210594859134e+01 1.096864909057834154e+02 7.155167991685442530e+01 6.737438788672014311e+01
7.913497246273517444e-03 1.738414686430460065e+01 8.701693260045118450e+01 6.429786891370255830e+01 6.083620811800028605e+01
8.285609766344617308e-03 1.844888924221420368e+01 7.047413106122613158e+01 6.197008711376858514e+01 5.782632016091309879e+01
8.675219951895907222e-03 1.985761080574332382e+01 7.078543725368635364e+01 6.130926867773111155e+01 5.050725833845535107e+01
9.083150587114263361e-03 2.969026980828238393e+01 6.943823447679476146e+01 5.900379441690076732e+01 5.190136462780562709e+01
9.510263145565963500e-03 5.705437003527760709e+01 7.288553475663208303e+01 5.992013471266837144e+01 4.812051591507591297e+01
9.957459609468489667e-03 1.023342659173599571e+02 7.433603233656450016e+01 6.207214638011922148e+01 4.793714081335973987e+01
1.042568437450904634e-02 1.363273045102056074e+02 7.522061111535431621e+01 6.229447690092093382e+01 5.169687651261023120e+01
1.091592624423248954e-02 1.178222051720222936e+02 7.183821477860880123e+01 4.921090138193267194e+01 4.259630546981443189e+01
1.142922051821033610e-02 6.012086292177738045e+01 5.616269219528135181e+01 4.067898623884941856e+01 3.541695811949515615e+01
1.196665117840071957e-02 2.866884029081805707e+01 4.287593905317478971e+01 3.557233553392168091e+01 3.209495794205698616e+01
1.252935317831654384e-02 3.417564996947366751e+01 5.167946091249787344e+01 3.621743834739275769e+01 3.124375819944641108e+01
1.311851483983601623e-02 4.518136554212295408e+01 5.954047651906513750e+01 3.633755276172342263e+01 3.300747479335713308e+01
1.373538036271722274e-02 3.300381841571063291e+01 5.496909037529591302e+01 3.118446193941526445e+01 2.653042969710256216e+01
1.438125245211645947e-02 1.120866917283152908e+01 4.326611333906001988e+01 3.127345471685793399e+01 2.795268094209959742e+01
1.505749506965901527e-02 1.150595731417420353e+01 4.061175057754762463e+01 2.860815499766660253e+01 2.538905516829338183e+01
1.576553631387218185e-02 1.173553370456663991e+01 2.791172417801355721e+01 2.352759262902448967e+01 2.165770901420422945e+01
1.650687143606357002e-02 3.643272464669955468e+00 3.331911273609576085e+01 2.118500994390474901e+01 1.925895181102131204e+01
1.728306599801350193e-02 8.042460266166122196e+00 2.658701438449650567e+01 2.168997701858019767e+01 1.848188408777206249e+01
1.809575917815007401e-02 1.545556553947229794e+01 2.972989666047994817e+01 2.076826199747237212e+01 1.659184787713299158e+01
1.894666723318882973e-02 7.542535551032760743e+00 2.593887729174817736e+01 1.888628517445994248e+01 1.690701749599821468e+01
1.983758712254753490e-02 8.279360036701808312e+00 3.388211944547479249e+01 1.629526221527027730e+01 1.458177780395029721e+01
2.077040030318992939e-02 8.553137003465890231e+00 2.535766222530456560e+01 1.718724099373748970e+01 1.221342757786736222e+01
2.174707670291258291e-02 7.618733923413280706e+00 1.799971455694707601e+01 1.379537491975561281e+01 1.263354090228884274e+01
2.276967888046575045e-02 8.625025718007352182e+00 1.728041882896621573e+01 1.273065475498223620e+01 1.150673822939474356e+01
2.384036638129350197e-02 9.686525666015627678e+01 1.628060468221587342e+01 1.187616348852945336e+01 9.989402406571066706e+00
2.496140029809166064e-02 8.263197731307094784e+01 2.012557777315651819e+01 1.300931209557649737e+01 9.626880900436660227e+00
2.613514804581474824e-02 6.883849154956586780e+00 1.512372037300429639e+01 1.159083537778580819e+01 8.586359152837278685e+00
2.736408836121562854e-02 2.747375551146786332e+00 1.609698749017265129e+01 1.171744407658910347e+01 8.579180626101198470e+00
2.865081653747616683e-02 2.976508032827464234e+00 1.133407953361274423e+01 8.085704426601196815e+00 6.532371178076219920e+00
2.999804990498323651e-02 2.528377651347407884e+00 9.380317307010360039e+00 6.966323975472542784e+00 6.327687376423646981e+00
3.140863356982477594e-02 4.138658547224649986e+00 8.941800964579705635e+00 6.536765779111446406e+00 5.687224685252409984e+00
3.288554642212419138e-02 1.953319250509231386e+00 1.095782238344798998e+01 6.836196128028498187e+00 4.992549238108786369e+00
3.443190742690172002e-02 3.736183539213765670e+00 9.508283409379567175e+00 6.366832768974097334e+00 5.693049342777538158e+00
3.605098221074809484e-02 7.406015826132040791e-01 8.806465082979865855e+00 5.471909240857513623e+00 4.744274723548263850e+00
3.774618995821994727e-02 3.071578828915885850e+00 6.094668282166459505e+00 4.274956692673032244e+00 3.518885855768141280e+00
3.952111063252104067e-02 5.155130889903931646e-01 6.457031015087632220e+00 4.317105168606223842e+00 3.715331765539734654e+00
4.137949253571831382e-02 4.881893589545510004e+00 7.981722641665154327e+00 4.419940189310131551e+00 3.630726155012370615e+00
4.332526022445801206e-02 4.971731626113805369e+00 5.061215538083123633e+00 4.069730844797984304e+00 3.631291086009672764e+00
4.536252279789872860e-02 5.965752200744101508e+00 4.371229217823327851e+00 2.978457436977778983e+00 2.655607684992432382e+00
4.749558257536407035e-02 1.498711111093606219e+00 3.402170069755115822e+00 3.109847460537675801e+00 2.701463701075631718e+00
4.972894418204012318e-02 3.134872768101051310e-01 4.566723759324069043e+00 2.780704234527348717e+00 2.308578357720645791e+00
5.206732406190524298e-02 4.007755871917723312e+00 4.178009682046650575e+00 2.888533821744263541e+00 2.228856915684218620e+00
5.451566043798192901e-02 7.834519368198082923e-01 3.513396619710415170e+00 2.854838275179001350e+00 2.193086405347300705e+00
5.707912374094456509e-02 8.927864336715530813e-01 4.607802886341169746e+00 2.131707631031478201e+00 1.777594686121160450e+00
